epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4696,1.64741,2.97072,1.50182,0.007,0.91304,0.26938,0.14875,1.27346,3.03043,1.4227,8e-05,8e-05,8e-05
2,112.119,1.56017,2.38988,1.33768,0.00733,0.95652,0.54428,0.29783,1.31727,2.87937,1.35413,0.00017109,0.00017109,0.00017109
3,156.868,1.48839,1.65409,1.31053,0.843,0.23505,0.54167,0.30783,1.43906,2.69836,1.58422,0.00025228,0.00025228,0.00025228
4,203.522,1.53306,1.60751,1.33038,0.76435,0.28333,0.60083,0.30441,1.54357,2.64122,1.69666,0.00032357,0.00032357,0.00032357
5,250.147,1.44712,1.41083,1.28973,0.5662,0.21739,0.50629,0.30025,1.36274,2.53585,1.43994,0.00038496,0.00038496,0.00038496
6,294.389,1.55774,1.58807,1.38333,0.65427,0.26087,0.56324,0.31587,1.40152,2.56761,1.46749,0.00043645,0.00043645,0.00043645
7,339.57,1.4442,1.40463,1.30077,0.78303,0.47118,0.64221,0.36476,1.54228,2.48897,1.50472,0.00047804,0.00047804,0.00047804
8,388.987,1.40124,1.37255,1.25894,0.86331,0.54988,0.70863,0.37902,1.44798,2.39523,1.46973,0.00050973,0.00050973,0.00050973
9,439.526,1.31757,1.36341,1.28929,0.64456,0.39441,0.48223,0.29878,1.45463,2.49404,1.64793,0.00053152,0.00053152,0.00053152
10,492.132,1.4181,1.39514,1.26391,0.83607,0.47826,0.56202,0.33709,1.4885,2.45214,1.55531,0.00054341,0.00054341,0.00054341
11,544.455,1.3624,1.65057,1.23785,0.77767,0.34783,0.51864,0.29348,1.41311,2.61639,1.55595,0.0005454,0.0005454,0.0005454
12,598.877,1.3306,1.60097,1.28064,1,0.40444,0.50709,0.28325,1.38092,2.74556,1.49346,0.00053749,0.00053749,0.00053749
13,656.431,1.26085,1.51016,1.18776,1,0.39491,0.52448,0.29223,1.41974,2.733,1.51695,0.00051968,0.00051968,0.00051968
14,715.39,1.21328,1.49671,1.19498,1,0.4291,0.51941,0.29086,1.41533,2.72483,1.51107,0.00049197,0.00049197,0.00049197
15,774.908,1.24889,1.44476,1.20878,0.94855,0.43478,0.52762,0.29583,1.53424,2.69595,1.55384,0.00045436,0.00045436,0.00045436
16,832.566,1.22392,1.36208,1.17347,0.90544,0.3913,0.51711,0.29092,1.61059,2.61939,1.60557,0.00040685,0.00040685,0.00040685
17,891.682,1.21882,1.37061,1.19296,0.81247,0.47826,0.56336,0.31287,1.6627,2.37416,1.62823,0.00034944,0.00034944,0.00034944
18,951.474,1.20783,1.41133,1.17421,0.83282,0.56522,0.60326,0.35562,1.57881,2.1829,1.55697,0.00028213,0.00028213,0.00028213
19,1011.78,1.18958,1.30881,1.13403,0.82262,0.6051,0.65416,0.36887,1.61166,2.06965,1.57468,0.00020492,0.00020492,0.00020492
20,1070.13,1.14226,1.31194,1.13757,0.74111,0.62279,0.72273,0.39264,1.6271,1.98165,1.58995,0.00011781,0.00011781,0.00011781
